pisco,CCCma-CanESM2_lsraw,CSIRO-QCCCE-Mk3_lsraw,ICHEC-EC-EARTH_lsraw,IPSL-CM5A-MR_lsraw,MIROC-MIROC5_lsraw,MOHC-HadGEM2-ES_lsraw,NCC-NorESM1-M_lsraw,NOAA-GFDL-ESM2M_lsraw,CCCma-CanESM2-SAM20_lsraw,MIROC-MIROC5-SAM20_lsraw,CCCma-CanESM2_ls,CSIRO-QCCCE-Mk3_ls,ICHEC-EC-EARTH_ls,IPSL-CM5A-MR_ls,MIROC-MIROC5_ls,MOHC-HadGEM2-ES_ls,NCC-NorESM1-M_ls,NOAA-GFDL-ESM2M_ls,CCCma-CanESM2-SAM20_ls,MIROC-MIROC5-SAM20_ls,CCCma-CanESM2_ptraw,CSIRO-QCCCE-Mk3_ptraw,ICHEC-EC-EARTH_ptraw,IPSL-CM5A-MR_ptraw,MIROC-MIROC5_ptraw,MOHC-HadGEM2-ES_ptraw,NCC-NorESM1-M_ptraw,NOAA-GFDL-ESM2M_ptraw,CCCma-CanESM2-SAM20_ptraw,MIROC-MIROC5-SAM20_ptraw,CCCma-CanESM2_pt,CSIRO-QCCCE-Mk3_pt,ICHEC-EC-EARTH_pt,IPSL-CM5A-MR_pt,MIROC-MIROC5_pt,MOHC-HadGEM2-ES_pt,NCC-NorESM1-M_pt,NOAA-GFDL-ESM2M_pt,CCCma-CanESM2-SAM20_pt,MIROC-MIROC5-SAM20_pt,CSIRO-QCCCE-Mk3_dmraw,ICHEC-EC-EARTH_dmraw,IPSL-CM5A-MR_dmraw,MIROC-MIROC5_dmraw,MOHC-HadGEM2-ES_dmraw,NCC-NorESM1-M_dmraw,NOAA-GFDL-ESM2M_dmraw,CSIRO-QCCCE-Mk3_dm,ICHEC-EC-EARTH_dm,IPSL-CM5A-MR_dm,MIROC-MIROC5_dm,MOHC-HadGEM2-ES_dm,NCC-NorESM1-M_dm,NOAA-GFDL-ESM2M_dm
293.78,421.97,171.32,131.35,67.81,69.96,16.87,131.22,138.91,253.3,144.81,425.34,229.76,242.56,167.44,173.41,89.81,241.05,249,285.01,284.57,421.97,171.32,131.35,67.81,69.96,16.87,131.22,138.91,253.3,144.81,425.13,238.07,241.89,166.64,184.06,114.12,240.99,253.59,326.35,278.33,171.32,131.35,67.81,69.96,16.87,131.22,138.91,229.83,238.08,161.62,175.58,70.87,236.85,250.15
184.32,321.42,306.88,102.52,111.23,70.3,33.02,54.05,109.34,257.64,213.46,220.98,275.33,150.84,169.39,136.5,85.64,85.14,160.59,177.08,193.16,321.42,306.88,102.52,111.23,70.3,33.02,54.05,109.34,257.64,213.46,213.9,227.64,141.53,162.76,138.18,117.26,103.41,161.21,204.59,192.81,306.88,102.52,111.23,70.3,33.02,54.05,109.34,241.36,145.46,165.67,136.14,81.35,92.97,158.83
296.9,198.14,38.02,100.74,50.85,99.07,18.83,32.09,101.48,339.89,269,279.58,123.64,286.08,179.71,347.65,75.55,116.55,268.91,400.07,398.85,198.14,38.02,100.74,50.85,99.07,18.83,32.09,101.48,339.89,269,273.46,140.58,285.96,167.47,339.84,93.24,124.56,267.74,572.15,444.42,38.02,100.74,50.85,99.07,18.83,32.09,101.48,110.12,293.14,160.96,344.78,55,110.19,270.33
31.9,81.73,49.14,52.83,27.06,63.48,83.57,25.79,117.57,97.36,124.74,39.47,53.08,48.35,33.1,91.43,48.98,47.22,112.86,43.75,72.76,81.73,49.14,52.83,27.06,63.48,83.57,25.79,117.57,97.36,124.74,38.6,55.74,47.37,27.37,93.81,48.63,45.84,115.37,43.4,73.09,49.14,52.83,27.06,63.48,83.57,25.79,117.57,55.8,47.85,27.01,97.91,47.7,44.96,116.52
11.17,173.52,81.49,39.35,18.02,34.78,36.88,7.7,14.54,68.71,13.88,27.71,25.87,28.83,10.59,36.74,7.14,10.04,18.39,28.53,13.97,173.52,81.49,39.35,18.02,34.78,36.88,7.7,14.54,68.71,13.88,28.15,41.69,49.07,7.34,53.39,3.62,6.06,17.25,23,11.13,81.49,39.35,18.02,34.78,36.88,7.7,14.54,32.03,37.02,9.25,41.67,5.21,7.05,9.79
1.67,94.24,55.16,16.88,19.72,27.38,27.7,1.19,19.46,8.02,1.1,20.54,30.82,18.16,16.44,37.33,5.75,1.8,29.24,10.46,6.01,94.24,55.16,16.88,19.72,27.38,27.7,1.19,19.46,8.02,1.1,12.15,23.61,12.34,13.91,47.77,1.73,0.19,26.4,7.73,4.79,55.16,16.88,19.72,27.38,27.7,1.19,19.46,31.76,16.88,16.07,42.35,2.55,0.11,28.83
0.58,194.11,15.91,8.1,8.26,16.19,141.21,14.79,14.25,27.61,7.4,9.46,2.43,2.74,2.35,5.84,11.19,4.95,7.25,11.47,7.87,194.11,15.91,8.1,8.26,16.19,141.21,14.79,14.25,27.61,7.4,8.53,0.35,0.67,1,3.51,13.15,2.45,3.54,9.71,6.49,15.91,8.1,8.26,16.19,141.21,14.79,14.25,1.04,1.42,1.86,5.13,14.8,4.7,6.74
19.55,266.89,90.73,17.97,44.01,28.61,153.76,17.21,9.58,27.31,20.83,18.21,11.37,6.64,11.19,8.52,25.28,6.95,3.74,16.29,25.54,266.89,90.73,17.97,44.01,28.61,153.76,17.21,9.58,27.31,20.83,23.69,7.13,5.99,7.1,6.4,27.41,5.36,1.83,19.41,25.17,90.73,17.97,44.01,28.61,153.76,17.21,9.58,6.87,6.08,9.79,7.76,30.64,6.53,1.81
43,155.77,81.36,34.1,121.29,46.29,156.7,39.19,74.64,47.09,7.57,24.64,26.74,29.31,61.95,33.85,167.92,66.5,59.43,43.28,12.61,155.77,81.36,34.1,121.29,46.29,156.7,39.19,74.64,47.09,7.57,23.77,18.47,23.69,69.67,31.32,177.86,70.67,70.02,41.18,13.66,81.36,34.1,121.29,46.29,156.7,39.19,74.64,20.54,25.73,64.51,31.61,192.36,83.08,70.52
52.31,428.44,75.89,24.64,60.67,42.27,74.23,24.18,71.86,80.15,34.44,70.21,32.81,23.45,38.99,39.55,105.1,19.98,67.43,48.21,43.65,428.44,75.89,24.64,60.67,42.27,74.23,24.18,71.86,80.15,34.44,86.81,32.79,25.43,38.81,40.6,108.76,26.33,67.39,44.27,43.88,75.89,24.64,60.67,42.27,74.23,24.18,71.86,32.73,20.85,40.35,38.79,98.21,19.49,76.9
