RAIN4PE,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt
171.04,421.97,171.32,131.35,67.81,69.96,16.87,131.22,138.91,132.71,59.99,288.78,155.99,164.7,113.65,117.72,60.95,163.64,169.04,197.12,154.95,421.97,171.32,131.35,67.81,69.96,16.87,131.22,138.91,132.71,59.99,286.67,161.87,164.1,113.16,125.47,77.99,163.55,172.52,218.45,157.92
235.69,321.42,306.88,102.52,111.23,70.3,33.02,54.05,109.34,94.36,103.85,207.37,258.34,141.58,158.95,128.09,80.38,79.93,150.69,127.2,164.69,321.42,306.88,102.52,111.23,70.3,33.02,54.05,109.34,94.36,103.85,214.01,232.17,135.25,155.94,129.1,103.94,89.92,150.95,124.14,164.84
134.8,198.14,38.02,100.74,50.85,99.07,18.83,32.09,101.48,154.8,142.51,156.06,68.99,159.69,100.28,194.06,42.13,65.06,150.08,228.92,220.87,198.14,38.02,100.74,50.85,99.07,18.83,32.09,101.48,154.8,142.51,156.38,88.56,156.45,104.62,182.3,62.79,79.62,150.4,269.41,225.69
46.92,81.73,49.14,52.83,27.06,63.48,83.57,25.79,117.57,42.03,67.56,43.69,58.77,53.5,36.61,101.21,54.37,52.25,124.92,54.24,81.76,81.73,49.14,52.83,27.06,63.48,83.57,25.79,117.57,42.03,67.56,43.32,59.49,53.35,33.38,97.89,56.62,52.38,114.91,55.09,81.35
5.94,173.52,81.49,39.35,18.02,34.78,36.88,7.7,14.54,25.78,5.08,32.04,29.88,33.33,12.25,42.49,8.2,11.6,21.23,33.8,13.61,173.52,81.49,39.35,18.02,34.78,36.88,7.7,14.54,25.78,5.08,33.01,45.68,49.88,9.09,56.84,4.96,7.9,20.7,32.21,13.75
5.22,94.24,55.16,16.88,19.72,27.38,27.7,1.19,19.46,0.71,0.34,14.85,22.32,13.15,11.9,27.07,4.17,1.29,21.19,1.99,4.18,94.24,55.16,16.88,19.72,27.38,27.7,1.19,19.46,0.71,0.34,10.69,19.06,9.97,10.81,33.51,1.66,0.22,20,2.56,9.73
3.4,194.11,15.91,8.1,8.26,16.19,141.21,14.79,14.25,10.9,1.28,16.84,4.34,4.92,4.16,10.38,19.82,8.77,12.86,21.89,5.95,194.11,15.91,8.1,8.26,16.19,141.21,14.79,14.25,10.9,1.28,16.72,1.51,2.35,2.94,8.35,23.38,6.48,9.53,22.46,11.19
70.58,266.89,90.73,17.97,44.01,28.61,153.76,17.21,9.58,11.36,11.1,40.64,25.35,14.75,25.01,19.06,55.51,15.5,8.33,32.27,60.02,266.89,90.73,17.97,44.01,28.61,153.76,17.21,9.58,11.36,11.1,56.24,12.67,12.22,12.06,12.07,62.51,10.38,2.77,38.25,58.47
62.21,155.77,81.36,34.1,121.29,46.29,156.7,39.19,74.64,30.85,1.41,26.39,28.64,31.39,66.4,36.26,175.76,71.31,63.68,60.89,4.32,155.77,81.36,34.1,121.29,46.29,156.7,39.19,74.64,30.85,1.41,25.92,18.21,23.72,75.8,32.5,205.43,78.36,77.08,64.59,5.19
130.75,428.44,75.89,24.64,60.67,42.27,74.23,24.18,71.86,36.32,19.84,97.18,45.44,32.51,53.95,54.76,147.44,27.63,93.36,57.6,58.64,428.44,75.89,24.64,60.67,42.27,74.23,24.18,71.86,36.32,19.84,116.52,45.42,36.34,53.8,56.63,146.52,37.58,91.37,55.05,55.86
80.36,117.17,102.02,36.89,43.91,51.48,18.54,112.48,65.95,36.95,18.16,39.39,61.69,41.44,46.5,63.3,41.74,98.41,72.29,37.25,52.55,117.17,102.02,36.89,43.91,51.48,18.54,112.48,65.95,36.95,18.16,31.82,61.67,44.48,46.12,64.04,42.94,92.49,73.07,28.43,51.97
174.61,163.13,185.7,93.64,86.51,53.89,30.45,62.47,90.2,49.09,8.13,107.96,137.49,97.51,151.62,76.78,73.47,84.54,85.03,60.57,31.2,163.13,185.7,93.64,86.51,53.89,30.45,62.47,90.2,49.09,8.13,107.46,130.32,104.25,133.25,90.27,75.36,92.48,85.09,51.65,109.85
176.85,176.17,111.29,89.92,57.62,111.81,13.21,55.85,66.82,67.4,99.1,120.56,101.32,112.73,96.58,188.15,47.74,69.61,81.33,100.15,255.93,176.17,111.29,89.92,57.62,111.81,13.21,55.85,66.82,67.4,99.1,121.29,110.8,126.45,103.19,181.48,65.86,86.82,87.62,89.63,243.52
162.08,132.5,312.73,119.89,104.45,85.77,51.51,89.65,108.34,66.9,111.12,85.48,263.25,165.55,149.25,156.26,125.33,132.51,149.31,90.19,176.19,132.5,312.73,119.89,104.45,85.77,51.51,89.65,108.34,66.9,111.12,83.13,244.45,167.98,144.35,159.27,136.14,136.98,150.34,77.26,176.2
